Guess id=52163 -> next_url id=Some(52363), batch min=Some(52164) max=Some(52363), records=100, unique_added=100
Guess id=53463 -> next_url id=Some(53663), batch min=Some(53464) max=Some(53663), records=100, unique_added=0
Guess id=52563 -> next_url id=Some(52762), batch min=Some(52564) max=Some(52762), records=100, unique_added=0
Guess id=52263 -> next_url id=Some(52462), batch min=Some(52264) max=Some(52462), records=100, unique_added=50
Guess id=53163 -> next_url id=Some(53362), batch min=Some(53164) max=Some(53362), records=100, unique_added=0
Guess id=52363 -> next_url id=Some(52563), batch min=Some(52365) max=Some(52563), records=100, unique_added=0
Guess id=52763 -> next_url id=Some(52964), batch min=Some(52764) max=Some(52964), records=100, unique_added=0
Guess id=52063 -> next_url id=Some(52263), batch min=Some(52064) max=Some(52263), records=100, unique_added=0
Guess id=53763 -> next_url id=Some(53962), batch min=Some(53764) max=Some(53962), records=100, unique_added=50
Guess id=53863 -> next_url id=Some(54063), batch min=Some(53865) max=Some(54063), records=100, unique_added=50
Guess id=54263 -> next_url id=Some(54462), batch min=Some(54264) max=Some(54462), records=100, unique_added=100
Guess id=54063 -> next_url id=Some(54262), batch min=Some(54064) max=Some(54262), records=100, unique_added=100
Guess id=54363 -> next_url id=Some(54562), batch min=Some(54364) max=Some(54562), records=100, unique_added=50
Guess id=54563 -> next_url id=Some(55732), batch min=Some(54564) max=Some(55732), records=100, unique_added=100
Found next_id 55732 is greater than 54813. Redundant guess ids to abort: [54963, 55463, 54863, 54163, 55363, 54463, 54663, 54763, 55163, 53963, 55063, 55263, 55563, 55663]
Guess id=55763 -> next_url id=Some(55968), batch min=Some(55764) max=Some(55968), records=100, unique_added=100
Guess id=55863 -> next_url id=Some(56066), batch min=Some(55866) max=Some(56066), records=100, unique_added=48
Guess id=55963 -> next_url id=Some(56164), batch min=Some(55964) max=Some(56164), records=100, unique_added=49
Guess id=56163 -> next_url id=Some(56362), batch min=Some(56164) max=Some(56362), records=100, unique_added=99
Guess id=56063 -> next_url id=Some(56262), batch min=Some(56064) max=Some(56262), records=100, unique_added=0
Guess id=57162 -> next_url id=Some(57362), batch min=Some(57164) max=Some(57362), records=100, unique_added=100
Guess id=58062 -> next_url id=Some(58262), batch min=Some(58064) max=Some(58262), records=100, unique_added=100
Guess id=57262 -> next_url id=Some(57463), batch min=Some(57265) max=Some(57463), records=100, unique_added=50
Guess id=56662 -> next_url id=Some(56862), batch min=Some(56664) max=Some(56862), records=100, unique_added=100
Guess id=57962 -> next_url id=Some(58162), batch min=Some(57964) max=Some(58162), records=100, unique_added=50
Guess id=56362 -> next_url id=Some(56565), batch min=Some(56364) max=Some(56565), records=100, unique_added=100
Guess id=56462 -> next_url id=Some(56662), batch min=Some(56464) max=Some(56662), records=100, unique_added=49
Guess id=57362 -> next_url id=Some(57563), batch min=Some(57365) max=Some(57563), records=100, unique_added=50
Guess id=56562 -> next_url id=Some(56760), batch min=Some(56563) max=Some(56760), records=100, unique_added=0
Guess id=57862 -> next_url id=Some(58062), batch min=Some(57864) max=Some(58062), records=100, unique_added=50
Guess id=57062 -> next_url id=Some(57262), batch min=Some(57064) max=Some(57262), records=100, unique_added=50
Guess id=56862 -> next_url id=Some(57062), batch min=Some(56864) max=Some(57062), records=100, unique_added=100
Guess id=56962 -> next_url id=Some(57162), batch min=Some(56964) max=Some(57162), records=100, unique_added=0
Guess id=57462 -> next_url id=Some(57660), batch min=Some(57463) max=Some(57660), records=100, unique_added=49
Guess id=57762 -> next_url id=Some(57962), batch min=Some(57764) max=Some(57962), records=100, unique_added=50
Guess id=57662 -> next_url id=Some(57862), batch min=Some(57664) max=Some(57862), records=100, unique_added=50
Guess id=56762 -> next_url id=Some(56962), batch min=Some(56764) max=Some(56962), records=100, unique_added=0
Guess id=57562 -> next_url id=Some(57760), batch min=Some(57563) max=Some(57760), records=100, unique_added=1
Guess id=58262 -> next_url id=Some(58462), batch min=Some(58265) max=Some(58462), records=100, unique_added=100
Guess id=58362 -> next_url id=Some(58562), batch min=Some(58364) max=Some(58562), records=100, unique_added=50
Guess id=58562 -> next_url id=Some(58762), batch min=Some(58564) max=Some(58762), records=100, unique_added=100
Guess id=58162 -> next_url id=Some(58362), batch min=Some(58164) max=Some(58362), records=100, unique_added=0
Guess id=58462 -> next_url id=Some(58662), batch min=Some(58465) max=Some(58662), records=100, unique_added=0
Guess id=58662 -> next_url id=Some(58863), batch min=Some(58664) max=Some(58863), records=100, unique_added=50
Guess id=59062 -> next_url id=Some(59262), batch min=Some(59064) max=Some(59262), records=100, unique_added=100
Guess id=58962 -> next_url id=Some(59162), batch min=Some(58964) max=Some(59162), records=100, unique_added=50
Guess id=59462 -> next_url id=Some(59662), batch min=Some(59464) max=Some(59662), records=100, unique_added=100
Guess id=58762 -> next_url id=Some(58962), batch min=Some(58764) max=Some(58962), records=100, unique_added=50
Guess id=59762 -> next_url id=Some(59964), batch min=Some(59764) max=Some(59964), records=100, unique_added=100
Guess id=59662 -> next_url id=Some(59862), batch min=Some(59664) max=Some(59862), records=100, unique_added=50
Guess id=59362 -> next_url id=Some(59562), batch min=Some(59364) max=Some(59562), records=100, unique_added=50
Guess id=58862 -> next_url id=Some(59060), batch min=Some(58863) max=Some(59060), records=100, unique_added=0
Guess id=59562 -> next_url id=Some(59762), batch min=Some(59564) max=Some(59762), records=100, unique_added=0
Guess id=59262 -> next_url id=Some(59462), batch min=Some(59264) max=Some(59462), records=100, unique_added=50
