Guess id=404 -> next_url id=Some(504), batch min=Some(405) max=Some(504), records=100, unique_added=100
Guess id=604 -> next_url id=Some(704), batch min=Some(605) max=Some(704), records=100, unique_added=100
Guess id=304 -> next_url id=Some(404), batch min=Some(305) max=Some(404), records=100, unique_added=100
Guess id=504 -> next_url id=Some(604), batch min=Some(505) max=Some(604), records=100, unique_added=100
Guess id=704 -> next_url id=Some(804), batch min=Some(705) max=Some(804), records=100, unique_added=100
Guess id=804 -> next_url id=Some(904), batch min=Some(805) max=Some(904), records=100, unique_added=100
Guess id=1004 -> next_url id=Some(1104), batch min=Some(1005) max=Some(1104), records=100, unique_added=100
Guess id=1104 -> next_url id=Some(1204), batch min=Some(1105) max=Some(1204), records=100, unique_added=100
Guess id=1304 -> next_url id=Some(1411), batch min=Some(1305) max=Some(1411), records=100, unique_added=100
Guess id=1204 -> next_url id=Some(1304), batch min=Some(1205) max=Some(1304), records=100, unique_added=100
Guess id=904 -> next_url id=Some(1004), batch min=Some(905) max=Some(1004), records=100, unique_added=100
Guess id=1404 -> next_url id=Some(38123), batch min=Some(1405) max=Some(38123), records=100, unique_added=96
Found next_id 38123 is greater than 2256. Redundant guess ids to abort: [1604, 1504]
Guess id=1704 -> next_url id=Some(38164), batch min=Some(38065) max=Some(38164), records=100, unique_added=41
Found next_id 38164 is greater than 2706. Redundant guess ids to abort: []
Guess id=38464 -> next_url id=Some(38564), batch min=Some(38465) max=Some(38564), records=100, unique_added=100
Guess id=38264 -> next_url id=Some(38364), batch min=Some(38265) max=Some(38364), records=100, unique_added=100
Guess id=38164 -> next_url id=Some(38264), batch min=Some(38165) max=Some(38264), records=100, unique_added=100
Guess id=38364 -> next_url id=Some(38464), batch min=Some(38365) max=Some(38464), records=100, unique_added=100
Guess id=38564 -> next_url id=Some(38664), batch min=Some(38565) max=Some(38664), records=100, unique_added=100
Guess id=38764 -> next_url id=Some(38865), batch min=Some(38765) max=Some(38865), records=100, unique_added=100
Guess id=38664 -> next_url id=Some(38764), batch min=Some(38665) max=Some(38764), records=100, unique_added=100
Guess id=38964 -> next_url id=Some(39064), batch min=Some(38965) max=Some(39064), records=100, unique_added=100
Guess id=39164 -> next_url id=Some(39264), batch min=Some(39165) max=Some(39264), records=100, unique_added=100
Guess id=39064 -> next_url id=Some(39164), batch min=Some(39065) max=Some(39164), records=100, unique_added=100
Guess id=38864 -> next_url id=Some(38964), batch min=Some(38865) max=Some(38964), records=100, unique_added=99
Guess id=39264 -> next_url id=Some(39364), batch min=Some(39265) max=Some(39364), records=100, unique_added=100
Guess id=39364 -> next_url id=Some(39464), batch min=Some(39365) max=Some(39464), records=100, unique_added=100
Guess id=39564 -> next_url id=Some(39664), batch min=Some(39565) max=Some(39664), records=100, unique_added=100
Guess id=39464 -> next_url id=Some(39564), batch min=Some(39465) max=Some(39564), records=100, unique_added=100
Guess id=39664 -> next_url id=Some(39764), batch min=Some(39665) max=Some(39764), records=100, unique_added=100
Guess id=39764 -> next_url id=Some(39864), batch min=Some(39765) max=Some(39864), records=100, unique_added=100
Guess id=39964 -> next_url id=Some(40064), batch min=Some(39965) max=Some(40064), records=100, unique_added=100
Guess id=40064 -> next_url id=Some(40164), batch min=Some(40065) max=Some(40164), records=100, unique_added=100
Guess id=40164 -> next_url id=Some(40264), batch min=Some(40165) max=Some(40264), records=100, unique_added=100
Guess id=39864 -> next_url id=Some(39967), batch min=Some(39865) max=Some(39967), records=100, unique_added=97
Guess id=40364 -> next_url id=Some(40464), batch min=Some(40365) max=Some(40464), records=100, unique_added=100
Guess id=40264 -> next_url id=Some(40364), batch min=Some(40265) max=Some(40364), records=100, unique_added=100
Guess id=40464 -> next_url id=Some(40564), batch min=Some(40465) max=Some(40564), records=100, unique_added=100
Guess id=40664 -> next_url id=Some(40764), batch min=Some(40665) max=Some(40764), records=100, unique_added=100
Guess id=40564 -> next_url id=Some(40664), batch min=Some(40565) max=Some(40664), records=100, unique_added=100
Guess id=40864 -> next_url id=Some(40964), batch min=Some(40865) max=Some(40964), records=100, unique_added=100
Guess id=41064 -> next_url id=Some(41164), batch min=Some(41065) max=Some(41164), records=100, unique_added=100
Guess id=40964 -> next_url id=Some(41064), batch min=Some(40965) max=Some(41064), records=100, unique_added=100
Guess id=41164 -> next_url id=Some(41264), batch min=Some(41165) max=Some(41264), records=100, unique_added=100
Guess id=41264 -> next_url id=Some(41364), batch min=Some(41265) max=Some(41364), records=100, unique_added=100
Guess id=41364 -> next_url id=Some(41464), batch min=Some(41365) max=Some(41464), records=100, unique_added=100
Guess id=41464 -> next_url id=Some(51645), batch min=Some(41465) max=Some(51645), records=100, unique_added=100
Guess id=40764 -> next_url id=Some(40864), batch min=Some(40765) max=Some(40864), records=100, unique_added=100
Guess id=41664 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=59
Guess id=41564 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=41764 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=41864 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=41964 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=42064 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=42164 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=42264 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=42464 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=42564 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=42664 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=42764 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=42364 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=42864 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=43064 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=42964 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=43164 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=43264 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=43364 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=43464 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=43564 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=43664 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=43764 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=43964 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=44064 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=44164 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=44264 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=44364 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=44464 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=43864 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=44564 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=44764 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=44864 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=44664 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=45164 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=45064 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=44964 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=45264 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=45364 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=45564 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=45664 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=45764 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=45464 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=45864 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=45964 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=46064 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=46164 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=46264 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=46364 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=46564 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=46764 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=46664 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=46864 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=46464 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=46964 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=47164 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=47064 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
Guess id=47264 -> next_url id=Some(51763), batch min=Some(51565) max=Some(51763), records=100, unique_added=0
